Province,Temple
,วัดบ่อแปดร้อย
,วัดแม่น้ำเก่า
,วัดใหม่คลองหอม
,วัดปากน้ำ
,วัดมาบป่าเลา
,วัดท่าเกย
,วัดโพธิ์งาม
,วัดวังหว้า
,วัดเกาะหินตั้ง
,วัดคลองแห้ง
,วัดปากคลองช้าง
,วัดท่าเกษม
,วัดท่าทอง
,วัดบางยมอุดมธรรม
,วัดสวรรคาราม
,วัดสวัสติการาม
,วัดคุ้งวารี
,วัดท่าช้าง
,วัดไทรย้อย
,วัดไผ่ล้อม
,วัดเวฬุวนาราม
,วัดอัมพวนาราม
,วัดจันทโรภาส
,วัดป่าข่อย
,วัดป่าถ่อน
,วัดหนองกลับ
,วัดใหม่ศรีสมบูรณ์
สุพรรณบุรี,วัดป่าเลไลยก์วรวิหาร
,วัดสองพี่น้อง
,วัดหนองเพียร
,วัดโพธาราม
,วัดเกาะ
,วัดคลองชะโด
,วัดดงขี้เหล็ก
,วัดบ้านกร่าง
,วัดดอนบุบผาราม
,วัดโพธิ์ศรีเจริญ
,วัดน้อยชมภู่
,วัดบ้านกล้วย
,วัดปู่เจ้า
,วัดละหาร
,วัดโลกาทิพยาราม
,วัดดอนสุทธาวาส
,วัดไผ่พันมือ
,วัดโพธิ์นฤมิตร
,วัดสามจุ่น
,วัดหนองปล้อง
,วัดห้วยสุวรรณวนาราม
,วัดคลองชะอม
,วัดป่าพระเจ้า
,วัดวสันตาราม
,วัดหนองสรวง
,วัดเทพสุธาวาส
,วัดวังพลับใต้
,วัดวังพลับเหนือ
,วัดศรีจันต์
,วัดเสาธงทอง
,วัดเถรพลาย
,วัดปลายนา
,วัดพังม่วง
,วัดห้วยเจริญ
,วัดไก่เตี้ย
,วัดบันไดทอง
,วัดสัปรสเทศ
,วัดจรรย์
,วัดถั่ว
,วัดพยัคฆาราม
,วัดม่วงเจริญผล
,วัดยาง
,วัดลาดปลาเค้า
,วัดป่าแก้วศรีประจันต์
,วัดปลายนาป่ามะม่วง
,วัดคลองสิบหก
,วัดดอนเจดีย์
,วัดนเรศสุวรรณาราม
,วัดราษฎร์บำรุง
,วัดสระศรีเจริญ
,วัดหนองกะดวง
,วัดหนองหลอด
,วัดทะเลบก
,วัดบ่อสำราญ
,วัดสระหลวง
,วัดหนองสานแตร
,วัดจิกรากข่า
,วัดชีธาราม
,วัดดงกะเชา
,วัดธัญญวารี
,วัดไร่รถ
,วัดสระพระยา
,วัดหนองน้ำแดง
,วัดดอนกลาง
,วัดสระกระโจม
,วัดหนองกะมาน
,วัดหนองโกสูง
,วัดหนองสลักได
,วัดหนองเสาธง
